,client_id,gender,car_owner,property_owner,number_of_children,annual_income,income_type,education,marital_status,housing_type,employed_days,work_phone,phone,email_id,number_of_family_members,label,age_in_years,years_of_experience,employment_status
755,5053182,M,Y,Y,0,207000.0,Pensioner,Higher education,Married,House / apartment,365243,0,0,0,2,0,66.6082191780822,2.313154757362086,Unemployed
756,5114342,M,Y,N,0,180000.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,-2993,1,0,0,2,0,26.876712328767123,2.8635642126552705,Employed
758,5115633,M,N,N,0,202500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-102,0,0,0,2,0,62.465753424657535,0.5286322491056713,Employed
759,5126311,M,N,N,0,180000.0,Working,Incomplete higher,Civil marriage,With parents,-288,1,0,1,2,0,21.10958904109589,0.8882798522371264,Employed
760,5135779,F,N,Y,0,126000.0,Working,Secondary / secondary special,Married,House / apartment,-2147,0,1,0,2,0,65.32602739726028,2.4253230260775402,Employed
762,5116343,M,Y,Y,1,225000.0,State servant,Secondary / secondary special,Married,House / apartment,-3929,1,0,0,3,0,32.04109589041096,3.280912001508702,Employed
763,5022800,F,Y,Y,0,202500.0,Working,Higher education,Widow,House / apartment,-1497,0,0,0,1,0,32.87123287671233,2.025183908442317,Employed
764,5054348,F,N,N,0,103500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-424,1,1,0,1,0,33.83013698630137,1.0777958227866902,Employed
765,5099980,M,N,Y,0,90000.0,Working,Secondary / secondary special,Separated,House / apartment,-1069,0,0,0,1,0,41.25753424657534,1.7113641118381766,Employed
766,5087829,M,N,Y,0,135000.0,State servant,Secondary / secondary special,Married,Rented apartment,-2323,1,0,1,2,0,28.624657534246577,2.5227729905094187,Employed
767,5051050,M,Y,N,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,-2174,0,0,0,2,0,61.38904109589041,2.4405254318612712,Employed
768,5148872,F,N,Y,0,135000.0,State servant,Incomplete higher,Married,House / apartment,-3332,0,0,0,2,0,42.11232876712329,3.0213849677404023,Employed
770,5088101,F,Y,Y,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,-375,0,0,0,1,0,46.49589041095891,1.0136060675992289,Employed
772,5028547,M,Y,N,1,292500.0,Working,Secondary / secondary special,Separated,House / apartment,-1056,0,1,0,2,0,34.772602739726025,1.7009264196112386,Employed
773,5053636,F,N,N,0,225000.0,Pensioner,Higher education,Separated,House / apartment,365243,0,0,0,1,0,60.12054794520548,2.313154757362086,Unemployed
774,5149402,F,N,N,1,135000.0,Commercial associate,Secondary / secondary special,Married,With parents,-1172,0,0,0,3,0,37.50410958904109,1.7919148707763963,Employed
775,5095554,F,N,N,0,76500.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,0,1,0,2,0,63.657534246575345,2.313154757362086,Unemployed
776,5067090,M,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-4663,0,1,0,2,0,37.37808219178082,3.5742611076631525,Employed
778,5041147,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,365243,0,0,0,2,0,63.66027397260274,2.313154757362086,Unemployed
779,5105555,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-4532,0,0,0,2,0,54.25205479452055,3.5236966890134545,Employed
780,5136976,F,N,N,0,306000.0,State servant,Higher education,Married,House / apartment,-5587,0,0,0,2,0,34.73150684931507,3.9123968759659973,Employed
781,5058366,F,N,N,0,90000.0,Pensioner,Secondary / secondary special,Single / not married,Municipal apartment,365243,0,0,0,1,0,55.136986301369866,2.313154757362086,Unemployed
782,5066458,F,Y,Y,0,135000.0,Working,Secondary / secondary special,Separated,House / apartment,-1406,0,0,0,1,0,43.9461426596527,1.9626652273173202,Employed
785,5062362,F,N,Y,0,270000.0,Pensioner,Higher education,Married,House / apartment,365243,0,0,0,2,0,57.02465753424657,2.313154757362086,Unemployed
786,5010596,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,0,0,0,2,0,62.81369863013698,2.313154757362086,Unemployed
787,5113472,M,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-346,0,1,0,2,0,52.602739726027394,0.973624776533266,Employed
788,5041535,F,N,Y,0,180000.0,Commercial associate,Secondary / secondary special,Widow,House / apartment,-1463,0,1,0,1,0,54.298630136986304,2.002053740058491,Employed
789,5066617,F,N,Y,0,139500.0,Working,Secondary / secondary special,Married,House / apartment,-157,0,0,1,2,0,51.31506849315068,0.6558482951882774,Employed
790,5126751,M,Y,N,2,135000.0,Working,Secondary / secondary special,Married,With parents,-561,0,0,0,4,0,45.54794520547945,1.239752516178073,Employed
791,5009908,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-3661,0,0,0,2,0,52.38356164383562,3.1670391513685727,Employed
792,5068337,F,Y,Y,0,112500.0,Working,Higher education,Married,House / apartment,-505,1,1,0,2,0,27.673972602739727,1.1762489718744142,Employed
793,5105535,M,Y,Y,0,126000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,365243,0,1,0,1,0,55.64109589041096,2.313154757362086,Unemployed
794,5061724,F,N,Y,0,193500.0,Pensioner,Incomplete higher,Widow,House / apartment,365243,0,0,0,1,0,66.56164383561644,2.313154757362086,Unemployed
795,5028919,F,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-1787,0,0,0,2,0,47.12876712328767,2.212665905860825,Employed
798,5114061,M,Y,N,1,193500.0,Working,Higher education,Married,House / apartment,-3999,1,1,0,3,0,49.12876712328767,3.310009725599253,Employed
799,5100373,F,N,Y,2,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-3960,0,0,0,4,0,35.2,3.293829848139268,Employed
800,5112765,F,Y,N,1,315000.0,Commercial associate,Higher education,Married,House / apartment,-2065,1,1,1,3,0,30.205479452054796,2.378557177487088,Employed
801,5045439,M,Y,Y,0,180000.0,Pensioner,Higher education,Married,House / apartment,365243,0,0,0,2,0,64.5095890410959,2.313154757362086,Unemployed
802,5113922,F,N,N,0,90000.0,Pensioner,Secondary / secondary special,Single / not married,Municipal apartment,365243,0,0,0,1,0,64.32328767123288,2.313154757362086,Unemployed
803,5037125,M,Y,N,0,180000.0,Working,Higher education,Married,With parents,-2227,0,1,0,2,0,31.956164383561642,2.4700951121391457,Employed
804,5029538,F,N,Y,0,112500.0,Working,Higher education,Civil marriage,House / apartment,-1205,0,0,0,2,0,35.02191780821918,1.816967215723415,Employed
805,5010078,M,Y,N,2,157500.0,Working,Secondary / secondary special,Married,Municipal apartment,-1135,0,0,0,4,0,34.295890410958904,1.7634026882977951,Employed
806,5085861,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-5190,0,0,0,2,0,49.86027397260274,3.770832544968257,Employed
807,5009146,M,Y,N,0,315000.0,Working,Higher education,Married,House / apartment,-3720,1,1,0,2,0,43.35616438356164,3.1924568629689904,Employed
808,5149433,F,Y,Y,0,112500.0,Working,Secondary / secondary special,Widow,House / apartment,-2633,0,0,0,1,0,53.654794520547945,2.6858329490377817,Employed
809,5061753,F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,0,1,0,2,0,63.10958904109589,2.313154757362086,Unemployed
810,5143009,M,Y,N,1,99000.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,0,1,0,3,0,51.21095890410959,2.313154757362086,Unemployed
812,5096318,M,Y,N,0,270000.0,Commercial associate,Higher education,Single / not married,House / apartment,-158,0,0,0,1,0,26.073972602739726,0.6579336686389952,Employed
813,5038615,F,N,N,1,112500.0,Commercial associate,Higher education,Married,With parents,-3272,0,0,0,3,0,33.78356164383562,2.9940580424640793,Employed
814,5047670,F,N,N,1,180000.0,State servant,Higher education,Married,House / apartment,-2500,1,1,1,3,0,38.54520547945206,2.6171196129510683,Employed
815,5044987,F,N,Y,0,141750.0,Pensioner,Higher education,Married,House / apartment,365243,0,1,0,2,0,55.73972602739726,2.313154757362086,Unemployed
816,5036828,F,N,Y,0,180000.0,Working,Higher education,Married,House / apartment,-4327,0,0,0,2,0,52.62191780821918,3.443079220777231,Employed
817,5139892,F,N,Y,0,112500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,-6033,0,1,0,2,0,50.64109589041096,4.065558648364044,Employed
818,5135446,F,N,Y,1,225000.0,Working,Secondary / secondary special,Married,With parents,-170,0,0,0,3,0,27.493150684931507,0.6824612990181452,Employed
819,5095586,F,N,N,0,270000.0,Working,Incomplete higher,Civil marriage,House / apartment,-278,1,0,1,2,0,24.065753424657533,0.8727220838367953,Employed
820,5068963,M,Y,N,0,202500.0,Working,Higher education,Married,House / apartment,-3062,0,0,0,2,0,41.59178082191781,2.8963841416308043,Employed
822,5048121,M,Y,Y,2,292500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-2653,0,1,0,4,0,33.12602739726027,2.69601430832348,Employed
823,5117219,F,N,Y,0,202500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-1953,0,0,0,2,0,30.43013698630137,2.313154757362086,Employed
824,5009821,F,Y,N,0,99000.0,Working,Secondary / secondary special,Married,House / apartment,-5457,0,1,0,2,0,40.775342465753425,3.8666115568423534,Employed
825,5033500,M,N,Y,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-1997,0,0,0,2,0,48.15890410958904,2.3390666678639858,Employed
826,5058281,F,N,Y,0,306000.0,Commercial associate,Higher education,Married,House / apartment,-3435,1,1,1,2,0,40.81369863013698,3.06772862295699,Employed
827,5054373,F,N,N,0,148500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,365243,0,1,0,1,0,56.775342465753425,2.313154757362086,Unemployed
828,5142988,F,N,N,1,135000.0,Working,Higher education,Married,House / apartment,-1504,1,0,0,3,0,28.95068493150685,2.0299132851443384,Employed
829,5137229,M,Y,N,0,180000.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,-2696,1,0,0,2,0,38.586301369863016,2.717775077128903,Employed
830,5113373,F,N,Y,1,180000.0,Pensioner,Higher education,Married,House / apartment,365243,0,1,0,3,0,51.9972602739726,2.313154757362086,Unemployed
831,5053152,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,365243,0,0,0,1,0,65.13424657534246,2.313154757362086,Unemployed
833,5142899,F,N,N,0,112500.0,Commercial associate,Higher education,Single / not married,With parents,-227,0,0,0,1,0,24.8,0.7886176565479485,Employed
834,5113510,M,Y,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-132,0,0,0,2,0,47.057534246575344,0.6013683028032308,Employed
836,5009791,F,N,N,0,198000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,365243,0,1,0,1,0,60.27945205479452,2.313154757362086,Unemployed
837,5149484,F,Y,Y,1,135000.0,Commercial associate,Higher education,Married,House / apartment,-2481,0,0,0,3,0,30.898630136986302,2.6071555906720647,Employed
838,5092221,M,N,N,0,67500.0,State servant,Secondary / secondary special,Married,House / apartment,-2818,0,0,0,2,0,31.92876712328767,2.778587401037707,Employed
840,5023838,F,Y,N,0,315000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-1077,0,1,0,2,0,54.24931506849315,1.7177557834298942,Employed
842,5033797,F,Y,Y,0,148500.0,Commercial associate,Secondary / secondary special,Married,Office apartment,-2277,0,0,0,2,0,46.868493150684934,2.4976701472339298,Employed
843,5022803,F,Y,Y,0,202500.0,Working,Higher education,Widow,House / apartment,-1497,0,0,0,1,0,32.87123287671233,2.025183908442317,Employed
844,5104953,M,Y,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-2422,0,0,0,2,0,59.40821917808219,2.5759690289978576,Employed
845,5100098,F,N,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-826,0,0,0,2,0,29.72876712328767,1.5043316451601145,Employed
846,5091792,M,Y,Y,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-2969,1,0,0,3,0,41.68767123287671,2.852060058158395,Employed
847,5149805,F,N,Y,0,135000.0,State servant,Incomplete higher,Single / not married,With parents,-2086,0,1,1,1,0,27.04931506849315,2.3906209430084657,Employed
848,5089681,F,N,N,0,261000.0,Commercial associate,Incomplete higher,Married,House / apartment,-1070,1,0,0,2,0,27.473972602739725,1.7121643756704754,Employed
850,5116809,F,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-701,0,0,0,2,0,50.31506849315068,1.385838354645115,Employed
851,5143353,M,Y,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-1384,1,0,0,2,0,28.980821917808218,1.947249553066532,Employed
853,5117095,M,Y,Y,0,360000.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,0,0,0,2,0,38.38356164383562,2.313154757362086,Unemployed
854,5088987,F,N,N,2,171000.0,Working,Secondary / secondary special,Married,House / apartment,-1160,1,1,0,4,0,40.06027397260274,1.7827176421915003,Employed
855,5021584,F,N,N,1,40500.0,State servant,Secondary / secondary special,Married,Rented apartment,-1952,0,0,0,3,0,35.75890410958904,2.312562476016476,Employed
856,5009291,F,N,N,0,130500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-4816,0,1,0,2,0,41.47945205479452,3.632426261873076,Employed
857,5051007,F,N,N,0,306000.0,Commercial associate,Higher education,Married,House / apartment,-1354,0,0,0,2,0,29.334246575342465,1.9260293458553248,Employed
858,5024263,F,Y,N,0,202500.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,-1128,0,1,0,2,0,58.29041095890411,1.757956472414522,Employed
859,5125771,F,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-469,0,0,0,2,0,64.0,1.1335481934392182,Employed
860,5021879,M,Y,N,2,112500.0,Working,Secondary / secondary special,Married,House / apartment,-217,0,1,0,4,0,35.87671232876713,0.7710515857873619,Employed
861,5137247,F,N,N,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-3273,1,1,0,2,0,47.54794520547945,2.994515534718635,Employed
862,5096336,F,Y,N,0,153000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,365243,0,1,0,1,0,64.87397260273973,2.313154757362086,Unemployed
863,5061762,F,Y,N,1,135000.0,Working,Higher education,Married,Rented apartment,-563,0,0,1,3,0,30.854794520547944,1.2419604476088026,Employed
864,5069117,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,365243,0,0,0,1,0,56.37534246575343,2.313154757362086,Unemployed
865,5009579,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,0,0,0,2,0,58.4,2.313154757362086,Unemployed
866,5048319,F,N,N,0,90000.0,Working,Higher education,Separated,House / apartment,-1526,0,0,0,1,0,59.964383561643835,2.0447058267164544,Employed
867,5023389,M,Y,Y,2,157500.0,Commercial associate,Higher education,Married,House / apartment,-2092,0,0,0,4,0,37.084931506849315,2.3940565676932257,Employed
868,5143457,M,Y,Y,0,247500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,-1749,0,0,0,2,0,32.635616438356166,2.1890136641688214,Employed
869,5089225,M,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,0,1,0,2,0,63.087671232876716,2.313154757362086,Unemployed
870,5069257,F,Y,Y,1,67500.0,Working,Secondary / secondary special,Married,House / apartment,-931,0,1,1,3,0,35.12602739726027,1.5970863882416786,Employed
871,5044939,M,N,Y,2,360000.0,State servant,Higher education,Married,House / apartment,-5639,0,1,0,4,0,43.90958904109589,3.9305616734117215,Employed
873,5149413,F,N,Y,2,315000.0,Commercial associate,Higher education,Married,House / apartment,-168,0,1,0,4,0,29.964383561643835,0.6784349435301367,Employed
874,5062745,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-1128,0,1,0,2,0,41.19178082191781,1.757956472414522,Employed
875,5105565,M,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,365243,0,1,0,2,0,63.271232876712325,2.313154757362086,Unemployed
876,5114544,F,N,Y,0,166500.0,Working,Incomplete higher,Married,House / apartment,-4029,0,0,1,2,0,29.572602739726026,3.3224021677671054,Employed
877,5100352,M,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-4967,1,1,0,2,0,43.9461426596527,3.688931983390612,Employed
878,5078841,M,N,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-3282,0,0,0,2,0,55.61095890410959,2.998629824089297,Employed
879,5117392,F,N,N,0,135000.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,-339,0,0,0,1,0,48.26027397260274,0.9637256473123827,Employed
882,5143453,M,Y,Y,0,247500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,-1749,0,0,0,2,0,32.635616438356166,2.1890136641688214,Employed
883,5067832,F,Y,Y,0,315000.0,Working,Higher education,Married,House / apartment,-577,0,0,1,2,0,58.56712328767123,1.2573074078395543,Employed
886,5116373,F,N,N,1,90000.0,Working,Secondary / secondary special,Married,With parents,-976,0,0,0,3,0,27.649315068493152,1.6352286087088026,Employed
887,5149106,M,N,Y,2,270000.0,Working,Secondary / secondary special,Married,House / apartment,-3608,0,0,0,4,0,34.21369863013699,3.1440310919024506,Employed
888,5091737,F,Y,Y,0,243000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-2057,0,0,0,1,0,40.31780821917808,2.37394533179603,Employed
889,5052620,M,Y,Y,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-1994,0,1,0,3,0,43.8027397260274,2.3373090721233547,Employed
890,5087819,M,N,Y,2,112500.0,Working,Secondary / secondary special,Married,House / apartment,-1563,0,0,0,4,0,43.25479452054795,2.069345737382209,Employed
892,5113639,F,N,N,0,135000.0,Pensioner,Higher education,Married,Municipal apartment,365243,0,0,0,2,0,53.97260273972603,2.313154757362086,Unemployed
893,5052811,F,N,Y,0,117000.0,Working,Secondary / secondary special,Married,House / apartment,-4523,0,0,0,2,0,47.09315068493151,3.5201961340126786,Employed
894,5095751,F,N,N,0,202500.0,Working,Secondary / secondary special,Married,With parents,-340,1,1,0,2,0,35.25753424657534,0.9651460248662211,Employed
895,5096785,F,Y,Y,0,270000.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,0,0,0,2,0,66.28493150684932,2.313154757362086,Unemployed
896,5062286,M,N,Y,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-1081,1,0,1,2,0,22.884931506849316,1.7209427171223446,Employed
898,5079075,F,N,Y,0,216000.0,Working,Secondary / secondary special,Married,House / apartment,-1639,1,0,0,2,0,42.654794520547945,2.1190589795718546,Employed
899,5146447,F,N,Y,0,135000.0,Working,Secondary / secondary special,Widow,House / apartment,-919,0,1,0,1,0,39.43561643835616,1.5867602903961526,Employed
900,5051008,F,N,N,1,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-3392,1,1,1,3,0,28.624657534246577,3.0484669401080122,Employed
901,5100106,M,Y,N,0,81000.0,Working,Secondary / secondary special,Married,House / apartment,-3261,1,1,0,2,0,48.38356164383562,2.989021006172835,Employed
902,5094896,M,Y,Y,1,180000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-3928,0,0,0,3,0,38.728767123287675,3.280494449868257,Employed
903,5050894,M,Y,N,0,292500.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,0,0,0,2,0,51.71232876712329,2.313154757362086,Unemployed
904,5054414,M,N,N,0,225000.0,Commercial associate,Higher education,Married,With parents,-5082,1,0,0,2,0,35.673972602739724,3.7313921894157516,Employed
905,5025791,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-3630,0,0,0,2,0,50.701369863013696,3.1536019849454773,Employed
906,5067949,F,N,Y,0,157500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-3591,0,1,1,1,0,49.679452054794524,3.136615399500481,Employed
907,5142482,M,Y,N,2,166500.0,Commercial associate,Higher education,Married,House / apartment,-1199,0,0,0,4,0,33.73150684931507,1.8124380008290808,Employed
909,5115957,F,Y,Y,0,180000.0,Working,Secondary / secondary special,Widow,House / apartment,-4304,0,0,0,1,0,42.44931506849315,3.433916251442048,Employed
910,5010881,F,N,Y,0,45000.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,0,1,0,2,0,56.679452054794524,2.313154757362086,Unemployed
911,5029423,F,N,Y,1,315000.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,-2514,0,0,1,3,0,30.7013698630137,2.6244373173838067,Employed
914,5117450,F,N,N,2,90000.0,Working,Secondary / secondary special,Married,House / apartment,-96,1,0,0,4,0,32.5013698630137,0.5128486118048259,Employed
915,5143620,F,N,Y,0,155175.0962264151,Pensioner,Secondary / secondary special,Married,House / apartment,365243,0,1,0,2,0,63.583561643835615,2.313154757362086,Unemployed
916,5023949,M,Y,Y,1,148500.0,Working,Secondary / secondary special,Married,House / apartment,-5176,0,0,0,3,0,40.99178082191781,3.7657432092228778,Employed
918,5143402,M,Y,Y,0,144000.0,Commercial associate,Higher education,Married,House / apartment,-2356,0,1,0,2,0,52.794520547945204,2.540628764803694,Employed
919,5041921,M,N,N,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,0,1,0,2,0,43.9461426596527,2.313154757362086,Unemployed
920,5136909,M,N,N,1,360000.0,Working,Secondary / secondary special,Married,House / apartment,-2908,1,0,1,3,0,41.76438356164383,2.8226093048226195,Employed
921,5143596,F,N,N,0,90000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-3333,1,0,0,2,0,31.887671232876713,3.0218383228285175,Employed
922,5095939,M,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-3596,0,1,0,2,0,47.50684931506849,3.13879830421143,Employed
923,5113343,M,N,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-4606,0,0,0,4,0,31.4027397260274,3.5523482490025917,Employed
924,5142920,F,N,N,1,292500.0,Working,Incomplete higher,Married,House / apartment,-4030,1,1,0,3,0,34.12054794520548,3.3228144532024295,Employed
925,5114294,F,N,N,0,112500.0,State servant,Secondary / secondary special,Widow,House / apartment,-5246,1,0,0,1,0,52.863013698630134,3.7911215675214143,Employed
926,5088055,F,N,Y,0,216000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-3054,0,0,0,1,0,49.14246575342466,2.8925980169514105,Employed
927,5142815,M,Y,N,0,126000.0,Commercial associate,Incomplete higher,Married,House / apartment,-2906,0,1,0,2,0,28.38082191780822,2.82163850193756,Employed
928,5054460,M,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-1915,0,1,0,3,0,51.87397260273973,2.2905404040238526,Employed
929,5113134,F,N,Y,0,189000.0,Pensioner,Incomplete higher,Widow,House / apartment,365243,0,0,0,1,0,59.84931506849315,2.313154757362086,Unemployed
930,5069380,M,N,Y,0,337500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-1267,0,0,0,1,0,45.8,1.8631244930793887,Employed
931,5065798,F,N,Y,0,44550.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,0,0,0,2,0,62.76986301369863,2.313154757362086,Unemployed
932,5036396,F,Y,Y,0,112500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-1256,0,0,0,2,0,37.49589041095891,1.85501910782907,Employed
933,5148535,F,N,Y,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,-1721,0,1,0,3,0,28.693150684931506,2.1714208466234006,Employed
934,5105436,M,N,Y,2,112500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-2317,0,0,0,4,0,39.33698630136986,2.5195128905166277,Employed
935,5105412,F,N,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-1518,0,0,0,4,0,34.95890410958904,2.039339135501754,Employed
937,5142584,M,Y,Y,0,301500.0,Working,Secondary / secondary special,Married,Rented apartment,-864,0,0,0,2,0,24.682191780821917,1.5385458354144776,Employed
939,5118108,M,Y,N,0,90000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-1101,1,0,0,1,0,22.75068493150685,1.7367896695237406,Employed
940,5054106,F,N,N,0,67500.0,Pensioner,Secondary / secondary special,Separated,House / apartment,365243,0,0,0,1,0,58.94794520547945,2.313154757362086,Unemployed
941,5010683,M,Y,Y,0,292500.0,Working,Higher education,Married,House / apartment,-2231,0,0,0,2,0,28.21095890410959,2.472312433153077,Employed
942,5045850,F,Y,Y,2,315000.0,Commercial associate,Higher education,Married,With parents,-1327,0,0,0,4,0,34.57808219178082,1.9067292514555296,Employed
943,5058371,F,N,Y,0,117000.0,Working,Secondary / secondary special,Married,House / apartment,-355,1,1,0,2,0,47.85753424657534,0.9862062358989764,Employed
944,5068147,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,365243,0,0,0,1,0,56.0027397260274,2.313154757362086,Unemployed
945,5137187,F,Y,N,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,-1934,1,0,0,2,0,31.246575342465754,2.3018753521827158,Employed
946,5139859,M,Y,Y,0,189000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,365243,0,0,0,1,0,54.824657534246576,2.313154757362086,Unemployed
947,5095873,F,N,N,0,202500.0,Working,Higher education,Civil marriage,House / apartment,-5179,1,1,0,2,0,41.942465753424656,3.7668343600283793,Employed
948,5126809,M,N,Y,1,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-2326,0,1,1,3,0,29.24931506849315,2.524401461678793,Employed
949,5096604,F,Y,N,1,225000.0,Working,Higher education,Civil marriage,House / apartment,-980,1,1,0,3,0,37.06301369863014,1.638576060745828,Employed
950,5036765,F,N,N,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,-1224,0,0,1,3,0,35.16164383561644,1.8312358279408598,Employed
952,5090082,M,N,N,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-1678,0,0,0,2,0,41.23561643835617,2.1441222618994007,Employed
953,5061481,F,N,Y,1,225000.0,Commercial associate,Higher education,Married,House / apartment,-2266,0,0,1,3,0,26.34246575342466,2.491629823645999,Employed
954,5125235,F,N,Y,2,157500.0,Commercial associate,Higher education,Married,House / apartment,-73,0,0,0,4,0,37.71506849315068,0.4472135954999579,Employed
955,5089474,M,N,N,0,180000.0,Working,Higher education,Married,House / apartment,-3443,0,0,0,2,0,39.298630136986304,3.0712988640522703,Employed
956,5126021,F,N,N,1,112500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-2661,1,1,0,3,0,40.515068493150686,2.7000761024282465,Employed
957,5114630,F,N,Y,0,81000.0,Working,Secondary / secondary special,Married,House / apartment,-286,1,0,0,2,0,54.07671232876712,0.8851901738245949,Employed
959,5118526,F,N,Y,0,180000.0,Commercial associate,Higher education,Married,House / apartment,-523,0,0,0,2,0,60.794520547945204,1.1970282838466129,Employed
960,5061340,F,N,Y,0,94500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,365243,0,0,0,1,0,66.58082191780822,2.313154757362086,Unemployed
961,5118527,F,N,Y,0,180000.0,Commercial associate,Higher education,Married,House / apartment,-523,0,0,0,2,0,60.794520547945204,1.1970282838466129,Employed
963,5089596,M,Y,N,0,315000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-978,0,0,0,2,0,38.38630136986301,1.6369031904161346,Employed
964,5066865,F,N,Y,2,54000.0,Working,Secondary / secondary special,Married,House / apartment,-795,0,0,0,4,0,27.136986301369863,1.4758327113127767,Employed
965,5061832,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,365243,0,0,0,2,0,61.961643835616435,2.313154757362086,Unemployed
966,5009941,F,N,Y,2,157500.0,Working,Secondary / secondary special,Married,House / apartment,-2351,0,0,0,4,0,29.34246575342466,2.537931419564161,Employed
